"first_name","last_name","hire_date"
"Xiong","Verhoeff","11/26/1987"
"Abdelkader","Baumann","1/18/1991"
"Eran","Cusworth","11/14/1986"
"Xudong","Samarati","11/13/1985"
"Lihong","Magliocco","10/23/1993"
"Shuichi","Tyugu","1/17/1995"
"Bojan","Zallocco","10/14/1986"
"Bilhanan","Wuwongse","10/6/1993"
"Elliott","Perl","10/29/1987"
"Nechama","Copas","10/27/1987"
"Pantung","Cools","1/28/1994"
"Hairong","Schaar","12/24/1987"
"Mohit","Speek","1/14/1986"
"Bader","Chinal","1/8/1990"
"Gad","Nollmann","10/1/1985"
"Munehiko","Janocha","12/11/1988"
"Shaowen","Krone","11/18/1990"
"Rosalie","Rousseau","11/7/1998"
"Hitomi","Gunderson","11/22/1987"
"Leni","Pusterhofer","1/29/1995"
"Freyja","Uhrig","12/20/1986"
"Leen","Pappas","11/19/1989"
"Shaowen","Pramanik","12/27/1992"
"Reinhard","Gischer","1/12/1999"
"Yannik","Krybus","10/20/1985"
"Fayez","Harllee","1/1/1987"
"Tsuneo","Matzat","1/7/1989"
"Sashi","Danlos","1/30/1998"
"Yechezkel","Pews","1/20/1992"
"Felicidad","Waymire","1/15/1988"
"Chikara","Businaro","1/4/1987"
"Uriel","Zongker","1/25/1988"
"Satosi","Zyda","10/9/1987"
"Christoph","Bahr","10/9/1990"
"Panayotis","Daescu","1/25/1988"
"Juichirou","Ghelli","12/13/1986"
"Ziva","Merlo","10/30/1994"
"Shmuel","Georg","11/30/1986"
"Xuejun","Chvatal","10/22/1991"
"Pintsang","Peron","11/9/1988"
"Quingbo","Lagarias","11/7/1987"
"Rutger","Grospietsch","12/30/1990"
"Van","Lunn","11/25/1992"
"Tiina","Ozeki","10/20/1995"
"Yishay","Vanwelkenhuysen","11/17/1989"
"Uli","Candan","11/17/1992"
"Moto","Piazza","12/11/1991"
"Guangming","Butterworth","10/1/1986"
"Alassane","Ramsay","11/5/1987"
"Zissis","Mateescu","11/26/1989"
"Kyoichi","Simmel","12/18/1994"
"Anwar","Ellozy","12/12/1991"
"Danel","Pardalos","11/7/1989"
"Jaroslava","Bardell","12/1/1987"
"Boriana","Maginnis","11/9/1985"
"Nakhoon","Bennis","12/1/1989"
"Jasminko","Cronan","10/27/1992"
"Ortrun","Ladret","1/18/1987"
"Mona","Uhrig","10/13/1985"
"Ekawit","Schmittgen","11/24/1996"
"Greger","Lichtner","10/6/1991"
"Nadjib","Ratnakar","1/25/1994"
"Udi","Rouquie","1/13/1988"
"Dinkar","Trelles","10/12/1987"
"Filipp","Schnelling","11/27/1992"
"Piyush","Garigliano","10/9/1993"
"Geoffrey","Murrill","11/16/1990"
"Zhensheng","Covnot","1/29/1994"
"Gro","Peak","11/12/1987"
"Alassane","Radivojevic","1/21/1989"
"Baocai","Kroha","10/27/1986"
"Make","Mattern","11/5/1994"
"Mahmut","Talmor","10/25/1990"
"Danco","Matzel","10/30/1990"
"LiMin","Orsini","1/21/1990"
"Hercules","Portugali","10/6/1988"
"Mart","Tischendorf","12/11/1994"
"Oguz","Thisen","11/18/1988"
"Taegyun","Speckmann","12/28/1986"
"Gladys","Randt","10/15/1985"
"Shigehiro","Trogemann","10/28/1985"
"Richara","Ducloy","12/15/1996"
"Mihalis","Wegerle","10/6/1989"
"Nidapan","Braunmuhl","10/14/1985"
"Lucien","Kornyak","11/1/1994"
"Joydip","Tsukuda","1/13/1989"
"Jamaludin","Knightly","1/4/1993"
"Kien","Naumovich","11/1/1993"
"Xiaobin","Janetzko","1/14/1988"
"Uma","Felder","12/13/1991"
"Uta","Frolund","1/22/1986"
"Elliott","Mayerwieser","1/24/1995"
"Arco","Matzat","10/3/1990"
"Ronnie","Rosen","10/26/1990"
"Marit","Baby","1/13/1990"
"Magdalena","Billingsley","1/22/1989"
"Yannik","Vakili","11/9/1986"
"Khatoun","Zeilberger","1/31/1986"
"Morrie","Stille","11/28/1985"
"Marit","Birrer","1/6/1993"
"Ugo","Chimia","11/28/1987"
"Kristine","Litzler","1/9/1986"
"Kristof","Honglei","1/3/1993"
"Chenye","Gurbaxani","1/13/1991"
"Chrisa","Cullers","1/28/1986"
"Shooichi","Linnainmaa","11/9/1987"
"Etsuo","Ratzlaff","1/15/1986"
"Toshimitsu","Montemayor","10/5/1988"
"Ingmar","Lambe","10/21/1986"
"Persi","Piancastelli","12/21/1991"
"Chiradeep","Krupka","1/10/1989"
"Magdalena","Basart","11/12/1989"
"Arunas","Vandervoorde","10/30/1993"
"Khosrow","Emden","10/4/1992"
"Leaf","Przulj","10/28/1989"
"Genta","Cardazo","12/12/1987"
"Wayne","Molberg","11/14/1990"
"Kellie","Spinelli","1/16/1988"
"Margareta","Strandh","12/24/1985"
"Mantis","Shumilov","1/11/1993"
"Vishv","Stentiford","10/6/1988"
"Akemi","Rajaraman","11/13/1985"
"Jiakeng","Ginesta","11/7/1992"
"Khalid","Merkl","12/24/1991"
"Saniya","Gladwell","11/19/1989"
"Gretta","Leslie","11/4/1994"
"Bernt","Munke","11/30/1995"
"Guadalupe","Kroha","1/2/1989"
"Muneo","Erde","1/12/1990"
"Naftaly","Luga","11/11/1987"
"Kellyn","Takanami","1/1/1996"
"Lubomir","Porenta","10/20/1987"
"Sandeepan","Sidou","1/19/1986"
"Jackson","Cangellaris","1/13/1989"
"Shigenori","Stentiford","10/31/1985"
"Doohun","Nilsson","11/7/1993"
"Denny","Skrikant","10/6/1992"
"Rosella","Leivant","10/16/1985"
"Ziyad","Edelhoff","12/10/1991"
"Guangming","Jenevein","1/7/1988"
"JiYoung","Crooks","11/19/1988"
"Feiyu","Deyuan","11/19/1987"
"Ramalingam","Coombs","1/31/1992"
"Jaideep","Bultermann","10/6/1985"
"Yurij","Valiente","11/20/1990"
"Pranay","Luff","12/16/1990"
